번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
AJ1101719,수학전공,20140304,2008,대륙의 딸,2006,"Chang, Jung",까치,952.7092 C456wK황
AJ1109151,화학전공,20140528,2013,(사회과학도를 위한) 중국학 강의,2008,중국,인간사랑,952 중16김
AJ1100626,화학전공,20131212,2007,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1107247,화학전공,20131127,2012,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1101120,화학전공,20130319,2007,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1100661,물리학전공,20120417,2007,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1105597,수학전공,20140528,2010,내일로 기차로,2011,권다현,테라,915.1904 권22내
AJ1100807,물리학전공,20130826,2007,Best of Europe 230,2013,장백관,테라,914.04 장43b
AJ1110781,화학전공,20140612,2014,역사란 무엇인가,2013,손영호,학지사,901 손64역
AJ1103849,화학전공,20130425,2009,연극개론,2003,"Brockett, Oscar G",한신,792.01 B864tK김수
AJ1105841,화학전공,20140911,2011,유기공업화학,1997,남기대,보성각,661.8 남18유
AJ1103197,화학전공,20140831,2009,화학공학 열역학,2005,"Smith, J.M",한국맥그로힐,660.2969 S653i7K김
AJ1103197,화학전공,20140924,2009,Introduction to chemical engineering thermodynamics,2005,"Smith, J. M. (Joseph Mauck) 1916-",McGraw-Hill,660.2969 S651i7
AJ1104223,화학전공,20141202,2010,(화학공학의) 단위조작,2009,임굉,내하,660.2842 임15단
AJ1103197,화학전공,20140831,2009,Unit operations of chemical engineering,2005,"McCabe, Warren L",McGraw-Hill,660.2842 M478u7
AJ1103197,화학전공,20140831,2009,단위조작,2005,"McCabe, Warren L",McGraw Hill Korea,660.2842 M121u7K이
AJ1105918,화학전공,20130403,2011,화공양론,2006,"Himmelblau, David M",한산,660.2 H658b7K조
AJ1100158,수학전공,20140419,2005,소비자 행동론,2003,"Solomon, Michale R",브레인코리아,658.8342 S689c3K리
AJ1100976,수학전공,20121121,2007,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
AJ1110860,수학전공,20140508,2014,무리뉴 그 남자의 기술,2013,한준,브레인스토어,658.4092 한76무
AJ1108114,물리학전공,20131227,2011,무리뉴 그 남자의 기술,2013,한준,브레인스토어,658.4092 한76무
AJ1101450,수학전공,20130903,2008,빅데이터 혁명,2012,권대석,북이십일 21세기북스,658.4038 권23빅
AJ1102214,수학전공,20140103,2008,기획의 정석,2013,박신영,세종서적,658.4012 박58기
AJ1100164,수학전공,20121206,2005,비즈니스 모델의 탄생,2011,"Osterwalder, Alexander",타임비즈,658.4012 O85bK유
AJ1111057,물리학전공,20140313,2010,이케아 불편을 팔다,2013,"Jungbluth, Rudiger",미래의창,658.401 J95dK배
AJ1100158,수학전공,20140611,2005,조직행위론,2008,신구범,형설,658.4 신16조수
AJ1102031,화학전공,20121012,2008,조직행위론,2005,신구범,형설,658.4 신16조
AJ1101423,수학전공,20121016,2008,조직행동론,2007,"Hellriegel, Don",한경사,658.4 H477o11K서
AJ1100626,화학전공,20110619,2007,조직행동론,2007,"Hellriegel, Don",한경사,658.4 H477o11K서
AJ1100164,수학전공,20130817,2005,(이시한의) 취업 자기소개서 불패(不敗)노트,2011,이시한,랜덤하우스코리아,658.31124 이58취
AJ1103504,화학전공,20121023,2008,면접의 정석,2008,서형준,부키,658.31124 서94면
AJ1107247,화학전공,20131224,2012,기적의 자소서,2012,조민혁,조선에듀케이션,658.311 조38기
AJ1100164,수학전공,20130817,2005,기적의 자소서,2012,조민혁,조선에듀케이션,658.311 조38기
AJ1109003,물리학전공,20140728,2013,카네기 인간관계론,2001,"Carnegie, Dale",카네기트레이닝 카네기연구소,658.3 C289hK최
AJ1102214,수학전공,20140117,2008,IFRS 중급회계,2013,김영덕,다임,657.044 김64i4
AJ1107723,수학전공,20140314,2012,회계학원론,2012,김호중,창민사,657 김95회7
AJ1105647,물리학전공,20140902,2010,천 번을 흔들려야 어른이 된다,2012,김난도,오우아,650.19842 김192천
AJ1102214,수학전공,20131015,2008,천 번을 흔들려야 어른이 된다,2012,김난도,오우아,650.19842 김192천
AJ1109003,물리학전공,20140211,2013,아프니까 청춘이다,2010,김난도,쌤앤파커스,650.10842 김192아
