,번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
823,AJ1106443,경영학전공,20130417,2011,Consumer behavior,2004,"Assael, Henry",Houghton Mifflin,658.834 A844c
824,AJ1107093,경영학전공,20130305,2010,Consumer behavior,2004,"Assael, Henry",Houghton Mifflin,658.834 A844c
827,AJ1105634,경영학전공,20140903,2010,마케팅 불변의 법칙,1994,"Ries, Al",십일월출판사,658.8 R559TK박
836,AJ1108548,경영학전공,20140103,2013,마케팅 불변의 법칙,1994,"Ries, Al",십일월출판사,658.8 R559TK박
837,AJ1106440,경영학전공,20131021,2011,마케팅 불변의 법칙,1994,"Ries, Al",십일월출판사,658.8 R559TK박
839,AJ1107116,경영학전공,20141002,2012,(Kotler의) 마케팅원리,2012,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p14K안
841,AJ1111037,경영학전공,20141201,2012,(Kotler의) 마케팅원리,2012,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p14K안
842,AJ1101843,경영학전공,20140605,2008,(Kotler의) 마케팅원리,2012,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p14K안
844,AJ1106597,경영학전공,20140427,2011,(Kotler의) 마케팅원리,2012,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p14K안
845,AJ1111043,경영학전공,20140911,2012,(Kotler의) 마케팅원리,2012,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p14K안
847,AJ1105424,경영학전공,20131209,2010,(Kotler의) 마케팅원리,2012,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p14K안
848,AJ1103146,경영학전공,20131028,2009,(Kotler의) 마케팅원리,2012,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p14K안
849,AJ1105458,경영학전공,20131216,2010,(Kotler의) 마케팅원리,2012,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p14K안
851,AJ1105426,경영학전공,20130925,2010,(Kotler의) 마케팅원리,2012,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p14K안
852,AJ1108188,경영학전공,20140911,2011,Principles of marketing,2012,"Kotler, Philip",Pearson Prentice Hall,658.8 K87p14
853,AJ1108744,금융공학전공,20141022,2013,Principles of marketing,2012,"Kotler, Philip",Pearson Prentice Hall,658.8 K87p14
854,AJ1105933,경영학전공,20140325,2011,Principles of marketing,2012,"Kotler, Philip",Pearson Prentice Hall,658.8 K87p14
855,AJ1102296,경영학전공,20140919,2008,Principles of marketing,2012,"Kotler, Philip",Pearson Prentice Hall,658.8 K87p14
856,AJ1107087,경영학전공,20121129,2010,Principles of marketing,2012,"Kotler, Philip",Pearson Prentice Hall,658.8 K87p14
857,AJ1109490,경영학전공,20130904,2013,Principles of marketing,2010,"Kotler, Philip",Prentice Hall,658.8 K87p13
858,AJ1102224,경영학전공,20111020,2008,Principles of marketing,2010,"Kotler, Philip",Prentice Hall,658.8 K87p13
862,AJ1106582,경영학전공,20140530,2011,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
864,AJ1101843,경영학전공,20140520,2008,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
865,AJ1106597,경영학전공,20140404,2011,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
866,AJ1106584,경영학전공,20140611,2011,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
869,AJ1105458,경영학전공,20131014,2010,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
871,AJ1103358,경영학전공,20130405,2009,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
874,AJ1102833,경영학전공,20121102,2009,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
875,AJ1100123,경영학전공,20130320,2005,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
877,AJ1102689,경영학전공,20120917,2009,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
878,AJ1100027,e-비즈니스학전공,20120416,2002,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
879,AJ1101273,경영학전공,20120417,2007,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
880,AJ1101914,경영학전공,20111205,2008,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
883,AJ1102223,e-비즈니스학전공,20111025,2008,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
885,AJ1108036,경영학전공,20130418,2012,Principles of marketing,2007,"Kotler,Philip",Pearson Prentice Hall,658.8 K87p12
887,AJ1106051,e-비즈니스학전공,20130328,2011,Principles of marketing,2003,"Kotler, Philip",Prentice Hall,658.8 K87p10
888,AJ1110637,경영학전공,20140318,2014,(필립 코틀러의) 마케팅 A to Z,2003,"Kotler, Philip",세종연구원,658.8 K87mK홍
889,AJ1104528,경영학전공,20141121,2010,(필립 코틀러의) 마케팅 A to Z,2003,"Kotler, Philip",세종연구원,658.8 K87mK홍
890,AJ1110873,경영학전공,20140601,2014,(필립 코틀러의) 마케팅 A to Z,2003,"Kotler, Philip",세종연구원,658.8 K87mK홍
891,AJ1110818,경영학전공,20140318,2014,(필립 코틀러의) 마케팅 A to Z,2003,"Kotler, Philip",세종연구원,658.8 K87mK홍
892,AJ1110877,경영학전공,20140410,2014,(필립 코틀러의) 마케팅 A to Z,2003,"Kotler, Philip",세종연구원,658.8 K87mK홍
