번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
AJ1104096,기계공학과,20130416,2010,(신편) 기계공작법,2007,기계공작법 교재편찬위원회,북스힐,621.8 기14기개
AJ1103900,기계공학과,20141031,2009,(신편) 기계공작법,2007,기계공작법 교재편찬위원회,북스힐,621.8 기14기
AJ1103546,기계공학과,20141008,2009,(신편) 기계공작법,2007,기계공작법 교재편찬위원회,북스힐,621.8 기14기
AJ1103897,기계공학과,20141120,2009,(신편) 기계공작법,2007,기계공작법 교재편찬위원회,북스힐,621.8 기14기
AJ1108860,기계공학과,20141008,2013,(신편) 기계공작법,2007,기계공작법 교재편찬위원회,북스힐,621.8 기14기
AJ1105109,기계공학과,20131209,2010,(신편) 기계공작법,2007,기계공작법 교재편찬위원회,북스힐,621.8 기14기
AJ1107688,기계공학과,20121031,2010,(신편) 기계공작법,2007,기계공작법 교재편찬위원회,북스힐,621.8 기14기
AJ1101876,기계공학과,20111007,2008,(신편) 기계공작법,2007,기계공작법 교재편찬위원회,북스힐,621.8 기14기
AJ1110793,화학공학전공,20141011,2014,(대안 없는 대안) 원자력 발전,2005,신부용,생각의나무,621.483 신46원
AJ1110288,산업공학전공,20141104,2014,(대안 없는 대안) 원자력 발전,2005,신부용,생각의나무,621.483 신46원
AJ1108875,건축학과,20131211,2013,(대안 없는 대안) 원자력 발전,2005,신부용,생각의나무,621.483 신46원
AJ1100215,건축학과,20120523,2005,(대안 없는 대안) 원자력 발전,2005,신부용,생각의나무,621.483 신46원
AJ1101425,화학공학전공,20120320,2008,(대안 없는 대안) 원자력 발전,2005,신부용,생각의나무,621.483 신46원
AJ1106595,화학공학전공,20120320,2011,(대안 없는 대안) 원자력 발전,2005,신부용,생각의나무,621.483 신46원
AJ1110793,화학공학전공,20141011,2014,은폐된 원자력 핵의 진실,2011,소출유장,녹색평론사,621.48 소85은
AJ1110219,건축학과,20141030,2014,은폐된 원자력 핵의 진실,2011,소출유장,녹색평론사,621.48 소85은
AJ1109677,기계공학과,20140718,2012,은폐된 원자력 핵의 진실,2011,소출유장,녹색평론사,621.48 소85은
AJ1103972,기계공학과,20131210,2010,은폐된 원자력 핵의 진실,2011,소출유장,녹색평론사,621.48 소85은
AJ1108768,기계공학과,20131114,2013,은폐된 원자력 핵의 진실,2011,소출유장,녹색평론사,621.48 소85은
AJ1103564,화학공학전공,20140307,2009,열전달,2001,임장순,淸文閣,621.4022 임72열
AJ1106701,화학공학전공,20130605,2011,열전달,2001,임장순,淸文閣,621.4022 임72열
AJ1106509,화학공학전공,20130524,2011,열전달,2001,임장순,淸文閣,621.4022 임72열
AJ1101880,화학공학전공,20130601,2008,열전달,2001,"Long, Christopher A",교보문고,621.4022 L848eK강
AJ1103781,화학공학전공,20130524,2009,열전달,2002,"Kreith, Frank",사이텍미디어,621.4022 K92pK배
AJ1103986,기계공학과,20140307,2010,열전달,2007,"Incropera, Frank P",텍스트북스,621.4022 I61i5K박
AJ1101251,기계공학과,20140205,2007,열전달,2007,"Incropera, Frank P",텍스트북스,621.4022 I61i5K박
AJ1103224,기계공학과,20130516,2009,열전달,2007,"Incropera, Frank P",텍스트북스,621.4022 I61i5K박
AJ1103031,기계공학과,20130312,2009,열전달,2007,"Incropera, Frank P",텍스트북스,621.4022 I61i5K박
AJ1103032,기계공학과,20140418,2009,열전달,2003,"Incropera, Frank P",사이텍미디어,621.4022 I37i4K이
AJ1103006,기계공학과,20130611,2009,열전달,2003,"Incropera, Frank P",사이텍미디어,621.4022 I37i4K이
AJ1100512,기계공학과,20130409,2006,열전달,2003,"Incropera, Frank P",사이텍미디어,621.4022 I37i4K이
AJ1109169,교통시스템공학전공,20140304,2011,열전달,2007,"Incropera, Frank P",교보문고,621.4022 I37f5K정
AJ1100219,기계공학과,20131021,2005,열전달,2007,"Incropera, Frank P",교보문고,621.4022 I37f5K정
AJ1103546,기계공학과,20140318,2009,열전달,2008,"Incropera, Frank P",교보문고,621.4022 F981i6K김
AJ1101712,기계공학과,20140706,2008,열전달,2008,"Incropera, Frank P",교보문고,621.4022 F981i6K김
AJ1108225,응용화학생명공학전공,20141015,2013,열전달,2008,"Incropera, Frank P",교보문고,621.4022 F981i6K김
AJ1104149,응용화학생명공학전공,20131107,2010,열전달,2008,"Incropera, Frank P",교보문고,621.4022 F981i6K김
AJ1104672,화학공학전공,20120501,2010,열전달,2008,"Incropera, Frank P",교보문고,621.4022 F981i6K김
AJ1103767,화학공학전공,20140630,2010,열전달,2012,"Cengel, Yunus A",한국맥그로힐,621.4022 C395h4K유
AJ1103658,기계공학과,20140306,2009,열전달,2012,"Cengel, Yunus A",한국맥그로힐,621.4022 C395h4K유
AJ1103649,기계공학과,20140729,2009,열역학,2008,허원회,성안당,621.4021 허66열
AJ1104487,화학공학전공,20111010,2010,열역학,2008,허원회,성안당,621.4021 허66열
AJ1107474,응용화학생명공학전공,20120404,2012,열역학,2004,최상민,시그마프레스,621.4021 최52열
AJ1105947,기계공학과,20140605,2011,열역학,2008,"Turns, Stephen R",한티미디어,621.4021 T956tK고
AJ1106613,기계공학과,20120508,2011,열역학,2008,"Turns, Stephen R",한티미디어,621.4021 T956tK고
AJ1103564,화학공학전공,20130703,2009,열역학,2008,"Schmidt, Philip S",시그마프레스,621.4021 T411pK김
AJ1106014,기계공학과,20140523,2011,열역학,2005,"Sonntag, Richard E",사이텍미디어,621.4021 S669f6K박
AJ1102287,기계공학과,20140414,2008,열역학,2005,"Sonntag, Richard E",사이텍미디어,621.4021 S669f6K박
AJ1103538,기계공학과,20130516,2009,열역학,2005,"Sonntag, Richard E",사이텍미디어,621.4021 S669f6K박
AJ1107073,신소재공학전공,20121031,2010,열역학,2005,"Sonntag, Richard E",사이텍미디어,621.4021 S669f6K박
AJ1100237,기계공학과,20110401,2005,열역학,2005,"Sonntag, Richard E",사이텍미디어,621.4021 S669f6K박
AJ1103221,기계공학과,20140609,2009,열역학,2000,"Sonntag, Richard E",사이텍미디어,621.4021 S669f5K박
AJ1104384,기계공학과,20141212,2010,열역학,2010,"Borgnakke, C",텍스트북스,621.4021 B733f7K박
AJ1104372,기계공학과,20141012,2010,열역학,2010,"Borgnakke, C",텍스트북스,621.4021 B733f7K박
AJ1103691,기계공학과,20130415,2009,열역학,2010,"Borgnakke, C",텍스트북스,621.4021 B733f7K박
AJ1101937,기계공학과,20120405,2008,열역학,2010,"Borgnakke, C",텍스트북스,621.4021 B733f7K박
AJ1103897,기계공학과,20120308,2009,열역학,2010,"Borgnakke, C",텍스트북스,621.4021 B733f7K박
AJ1103217,기계공학과,20131129,2009,VHDL,1998,"Navabi, Zainalabedin",McGraw-HIll,621.392 N325v2
AJ1106701,화학공학전공,20140523,2011,신호 및 시스템,1999,"Oppenheim, Alan V",한산,621.3822 O62s2K우
AJ1103059,응용화학생명공학전공,20141203,2009,디스플레이 공학,2008,엄금용,기전연구사,621.381542 엄17디
AJ1102150,응용화학생명공학전공,20130524,2008,디스플레이 공학,2008,엄금용,기전연구사,621.381542 엄17디
AJ1100380,응용화학생명공학전공,20120305,2006,디스플레이 공학,2008,엄금용,기전연구사,621.381542 엄17디
AJ1103695,신소재공학전공,20140612,2009,디스플레이 공학,2009,이준신,홍릉과학,621.381542 디57이
AJ1101748,신소재공학전공,20140615,2008,디스플레이 공학,2009,이준신,홍릉과학,621.381542 디57이
AJ1103570,신소재공학전공,20140502,2009,반도체 소자 공정기술,2006,"Quirk, Michael",淸文閣,621.38153 Q8sK최
AJ1101615,화학공학전공,20130415,2008,반도체 소자 공정기술,2006,"Quirk, Michael",淸文閣,621.38153 Q8sK최
AJ1105716,건설시스템공학전공,20110607,2009,반도체 소자 공정기술,2006,"Quirk, Michael",淸文閣,621.38153 Q8sK최
AJ1101127,응용화학생명공학전공,20131108,2007,반도체 공정기술,2003,황호정,생능출판사,621.38152 황95반개
AJ1104672,화학공학전공,20120602,2010,반도체 공정기술,2003,황호정,생능출판사,621.38152 황95반개
AJ1102789,응용화학생명공학전공,20141006,2009,반도체 공학,2001,허규성,일진사,621.38152 허16반
AJ1103570,신소재공학전공,20130401,2009,반도체 공학,2001,허규성,일진사,621.38152 허16반
AJ1102930,응용화학생명공학전공,20141015,2009,반도체 공학,2006,박성희,동일,621.38152 박54반
AJ1109091,신소재공학전공,20140925,2011,반도체 공학,2006,박성희,동일,621.38152 박54반
AJ1106701,화학공학전공,20140418,2011,반도체 공학,2006,박성희,동일,621.38152 박54반
AJ1102917,화학공학전공,20140518,2009,반도체 공학,2006,박성희,동일,621.38152 박54반
AJ1103059,응용화학생명공학전공,20141008,2009,반도체 공학,2006,박성희,동일,621.38152 박54반
AJ1102394,화학공학전공,20120604,2008,반도체 공학,2006,박성희,동일,621.38152 박54반
AJ1107067,산업공학전공,20141021,2010,반도체 이야기,2005,매일경제신문 산업부,이지북,621.38152 매68반
AJ1107131,신소재공학전공,20140527,2010,반도체 이야기,2005,매일경제신문 산업부,이지북,621.38152 매68반
AJ1101127,응용화학생명공학전공,20131030,2007,반도체 이야기,2005,매일경제신문 산업부,이지북,621.38152 매68반
AJ1101762,화학공학전공,20130225,2008,반도체 이야기,2005,매일경제신문 산업부,이지북,621.38152 매68반
AJ1103105,응용화학생명공학전공,20140929,2009,반도체 공학,2013,김동명,한빛아카데미,621.38152 김25반한
AJ1103792,신소재공학전공,20141124,2009,반도체 공학,2013,김동명,한빛아카데미,621.38152 김25반한
AJ1101546,응용화학생명공학전공,20141104,2008,반도체 공학,2013,김동명,한빛아카데미,621.38152 김25반한
AJ1101748,신소재공학전공,20130613,2008,반도체 공학,2011,김동명,한빛미디어,621.38152 김25반
AJ1103695,신소재공학전공,20140413,2009,반도체소자원리,2008,"Dimitrijev, Sima",진샘미디어,621.38152 D582pK윤4
AJ1101595,화학공학전공,20140929,2008,PSpice 기초와 활용,2008,최평,복두,621.3815 최894p
AJ1102350,기계공학과,20111205,2008,PSpice 기초와 활용,2008,최평,복두,621.3815 최894p
AJ1105414,기계공학과,20131201,2010,디지털 논리회로,2009,임석구,한빛미디어,621.3815 임54디개
AJ1100391,생명공학전공,20110425,2006,디스플레이 공학,2000,이종덕,청범,621.38 디57청
AJ1101698,기계공학과,20121109,2008,기초 회로이론,2011,최윤식,한빛미디어,621.3192 최66기개
AJ1104729,기계공학과,20141115,2010,회로이론,2005,김동희,인터비젼,621.3192 김25회
AJ1105257,기계공학과,20110428,2010,Electric circuits,2011,"Nilsson, James William",Pearson/Prentice Hall,621.3192 N712e9
AJ1106460,기계공학과,20140924,2011,회로이론,2005,"Nilsson, James W",피어슨에듀케이션코리아,621.3192 N712e7K국
